figure,task,system,metric,value,n,scope
01_jevbench,overall,nanojev-0.6b-rlcd,accuracy,0.6493506493506493,231,identical_public_ids
01_jevbench,easy,nanojev-0.6b-rlcd,accuracy,1.0,48,identical_public_ids
01_jevbench,standard,nanojev-0.6b-rlcd,accuracy,0.7638888888888888,72,identical_public_ids
01_jevbench,hard,nanojev-0.6b-rlcd,accuracy,0.42342342342342343,111,identical_public_ids
01_jevbench,choice,nanojev-0.6b-rlcd,accuracy,0.6762589928057554,139,identical_public_ids
01_jevbench,noul,nanojev-0.6b-rlcd,accuracy,0.6081081081081081,74,identical_public_ids
01_jevbench,score,nanojev-0.6b-rlcd,accuracy,0.6111111111111112,18,identical_public_ids
06_agreement,jev,NanoJev vs jev,exact_answer_agreement,0.7489177489177489,231,identical_public_ids
02_applications,apps/nanojev.agnews,nanojev-0.6b-rlcd,accuracy,0.79,300,published_application_protocol
02_applications,apps/nanojev.amazon,nanojev-0.6b-rlcd,accuracy,0.425,80,published_application_protocol
02_applications,apps/nanojev.banking77,nanojev-0.6b-rlcd,accuracy,0.6120689655172413,116,published_application_protocol
02_applications,apps/nanojev.boolq,nanojev-0.6b-rlcd,accuracy,0.7875,80,published_application_protocol
02_applications,apps/nanojev.contrastive,nanojev-0.6b-rlcd,accuracy,0.6938775510204082,196,published_application_protocol
02_applications,apps/nanojev.dbpedia14,nanojev-0.6b-rlcd,accuracy,0.8103448275862069,116,published_application_protocol
02_applications,apps/nanojev.imdb,nanojev-0.6b-rlcd,accuracy,0.8875,80,published_application_protocol
02_applications,apps/nanojev.massive_en-US,nanojev-0.6b-rlcd,accuracy,0.832,250,published_application_protocol
02_applications,apps/nanojev.massive_zh-CN,nanojev-0.6b-rlcd,accuracy,0.756,250,published_application_protocol
02_applications,apps/nanojev.mnli,nanojev-0.6b-rlcd,accuracy,0.7413793103448276,116,published_application_protocol
02_applications,apps/nanojev.sharc,nanojev-0.6b-rlcd,accuracy,0.5161290322580645,31,published_application_protocol
02_applications,apps/nanojev.sms_spam,nanojev-0.6b-rlcd,accuracy,1.0,106,published_application_protocol
02_applications,apps/nanojev.sst5,nanojev-0.6b-rlcd,accuracy,0.3625,80,published_application_protocol
02_applications,apps/nanojev.trec,nanojev-0.6b-rlcd,accuracy,0.6206896551724138,116,published_application_protocol
02_applications,apps/nanojev.yelp,nanojev-0.6b-rlcd,accuracy,0.6125,160,published_application_protocol
05_latency,text_1q,nanojev-0.6b-rlcd,p50_ms,20.77767919981852,20,warm_same_gpu_native_api
05_latency,text_5q,nanojev-0.6b-rlcd,p50_ms,31.173100000887644,20,warm_same_gpu_native_api
05_latency,text_10q,nanojev-0.6b-rlcd,p50_ms,33.77845209906809,20,warm_same_gpu_native_api
05_latency,text_20q,nanojev-0.6b-rlcd,p50_ms,56.75706670008367,20,warm_same_gpu_native_api
05_latency,text_50q,nanojev-0.6b-rlcd,p50_ms,111.77409999945667,20,warm_same_gpu_native_api
