figure,task,system,metric,value,n,scope
01_jevbench,overall,nanojev-0.6b-rlcd,accuracy,0.5238095238095238,231,identical_public_ids
01_jevbench,easy,nanojev-0.6b-rlcd,accuracy,0.8125,48,identical_public_ids
01_jevbench,standard,nanojev-0.6b-rlcd,accuracy,0.5,72,identical_public_ids
01_jevbench,hard,nanojev-0.6b-rlcd,accuracy,0.4144144144144144,111,identical_public_ids
01_jevbench,choice,nanojev-0.6b-rlcd,accuracy,0.5251798561151079,139,identical_public_ids
01_jevbench,noul,nanojev-0.6b-rlcd,accuracy,0.5135135135135135,74,identical_public_ids
01_jevbench,score,nanojev-0.6b-rlcd,accuracy,0.5555555555555556,18,identical_public_ids
06_agreement,jev,NanoJev vs jev,exact_answer_agreement,0.5627705627705628,231,identical_public_ids
02_applications,apps/nanojev.agnews,nanojev-0.6b-rlcd,accuracy,0.71,300,published_application_protocol
02_applications,apps/nanojev.amazon,nanojev-0.6b-rlcd,accuracy,0.3375,80,published_application_protocol
02_applications,apps/nanojev.banking77,nanojev-0.6b-rlcd,accuracy,0.4051724137931034,116,published_application_protocol
02_applications,apps/nanojev.boolq,nanojev-0.6b-rlcd,accuracy,0.5,80,published_application_protocol
02_applications,apps/nanojev.contrastive,nanojev-0.6b-rlcd,accuracy,0.44387755102040816,196,published_application_protocol
02_applications,apps/nanojev.dbpedia14,nanojev-0.6b-rlcd,accuracy,0.603448275862069,116,published_application_protocol
02_applications,apps/nanojev.imdb,nanojev-0.6b-rlcd,accuracy,0.6,80,published_application_protocol
02_applications,apps/nanojev.massive_en-US,nanojev-0.6b-rlcd,accuracy,0.472,250,published_application_protocol
02_applications,apps/nanojev.massive_zh-CN,nanojev-0.6b-rlcd,accuracy,0.496,250,published_application_protocol
02_applications,apps/nanojev.mnli,nanojev-0.6b-rlcd,accuracy,0.46551724137931033,116,published_application_protocol
02_applications,apps/nanojev.sharc,nanojev-0.6b-rlcd,accuracy,0.2903225806451613,31,published_application_protocol
02_applications,apps/nanojev.sms_spam,nanojev-0.6b-rlcd,accuracy,0.8113207547169812,106,published_application_protocol
02_applications,apps/nanojev.sst5,nanojev-0.6b-rlcd,accuracy,0.3125,80,published_application_protocol
02_applications,apps/nanojev.trec,nanojev-0.6b-rlcd,accuracy,0.3620689655172414,116,published_application_protocol
02_applications,apps/nanojev.yelp,nanojev-0.6b-rlcd,accuracy,0.4125,160,published_application_protocol
05_latency,text_1q,nanojev-0.6b-rlcd,p50_ms,43.50302099192049,20,warm_same_gpu_native_api
05_latency,text_5q,nanojev-0.6b-rlcd,p50_ms,217.554958013352,20,warm_same_gpu_native_api
05_latency,text_10q,nanojev-0.6b-rlcd,p50_ms,435.0172915146686,20,warm_same_gpu_native_api
05_latency,text_20q,nanojev-0.6b-rlcd,p50_ms,872.1245205088053,20,warm_same_gpu_native_api
05_latency,text_50q,nanojev-0.6b-rlcd,p50_ms,2181.0174794954946,20,warm_same_gpu_native_api
