figure,task,system,metric,value,n,scope
01_jevbench,overall,nanojev-0.6b-rlcd,accuracy,0.48917748917748916,231,identical_public_ids
01_jevbench,easy,nanojev-0.6b-rlcd,accuracy,0.8125,48,identical_public_ids
01_jevbench,standard,nanojev-0.6b-rlcd,accuracy,0.4861111111111111,72,identical_public_ids
01_jevbench,hard,nanojev-0.6b-rlcd,accuracy,0.35135135135135137,111,identical_public_ids
01_jevbench,choice,nanojev-0.6b-rlcd,accuracy,0.5035971223021583,139,identical_public_ids
01_jevbench,noul,nanojev-0.6b-rlcd,accuracy,0.4594594594594595,74,identical_public_ids
01_jevbench,score,nanojev-0.6b-rlcd,accuracy,0.5,18,identical_public_ids
06_agreement,jev,NanoJev vs jev,exact_answer_agreement,0.5714285714285714,231,identical_public_ids
02_applications,apps/nanojev.agnews,nanojev-0.6b-rlcd,accuracy,0.7033333333333334,300,published_application_protocol
02_applications,apps/nanojev.amazon,nanojev-0.6b-rlcd,accuracy,0.3,80,published_application_protocol
02_applications,apps/nanojev.banking77,nanojev-0.6b-rlcd,accuracy,0.2413793103448276,116,published_application_protocol
02_applications,apps/nanojev.boolq,nanojev-0.6b-rlcd,accuracy,0.525,80,published_application_protocol
02_applications,apps/nanojev.contrastive,nanojev-0.6b-rlcd,accuracy,0.5102040816326531,196,published_application_protocol
02_applications,apps/nanojev.dbpedia14,nanojev-0.6b-rlcd,accuracy,0.7586206896551724,116,published_application_protocol
02_applications,apps/nanojev.imdb,nanojev-0.6b-rlcd,accuracy,0.5,80,published_application_protocol
02_applications,apps/nanojev.massive_en-US,nanojev-0.6b-rlcd,accuracy,0.572,250,published_application_protocol
02_applications,apps/nanojev.massive_zh-CN,nanojev-0.6b-rlcd,accuracy,0.516,250,published_application_protocol
02_applications,apps/nanojev.mnli,nanojev-0.6b-rlcd,accuracy,0.3620689655172414,116,published_application_protocol
02_applications,apps/nanojev.sharc,nanojev-0.6b-rlcd,accuracy,0.41935483870967744,31,published_application_protocol
02_applications,apps/nanojev.sms_spam,nanojev-0.6b-rlcd,accuracy,0.8113207547169812,106,published_application_protocol
02_applications,apps/nanojev.sst5,nanojev-0.6b-rlcd,accuracy,0.3625,80,published_application_protocol
02_applications,apps/nanojev.trec,nanojev-0.6b-rlcd,accuracy,0.6120689655172413,116,published_application_protocol
02_applications,apps/nanojev.yelp,nanojev-0.6b-rlcd,accuracy,0.43125,160,published_application_protocol
05_latency,text_1q,nanojev-0.6b-rlcd,p50_ms,19.390020849823486,20,warm_same_gpu_native_api
05_latency,text_5q,nanojev-0.6b-rlcd,p50_ms,29.806220850150567,20,warm_same_gpu_native_api
05_latency,text_10q,nanojev-0.6b-rlcd,p50_ms,32.338464600616135,20,warm_same_gpu_native_api
05_latency,text_20q,nanojev-0.6b-rlcd,p50_ms,54.69433329999447,20,warm_same_gpu_native_api
05_latency,text_50q,nanojev-0.6b-rlcd,p50_ms,110.23256250045961,20,warm_same_gpu_native_api
